Registration_number,Current_Semester
ciit/fa18-bse-404/isb,Semester 8
ciit/fa18-bse-412/isb,Semester 8
ciit/fa18-bse-475/isb,Semester 8
ciit/fa18-bse-505/isb,Semester 8
ciit/fa18-bse-523/isb,Semester 3
ciit/fa18-bse-539/isb,Semester 8
ciit/fa18-bse-560/isb,Semester 8
ciit/fa18-bse-707/isb,Semester 8
ciit/fa18-bse-71/isb,Semester 8
ciit/fa18-bse-767/isb,Semester 8
ciit/fa18-bse-77/isb,Semester 8
ciit/fa18-bse-788/isb,Semester 1
ciit/fa18-bse-791/isb,Semester 8
ciit/fa18-bse-792/isb,Semester 8
ciit/fa18-bse-823/isb,Semester 8
ciit/fa18-bse-899/isb,Semester 1
ciit/fa18-bse-915/isb,Semester 8
ciit/fa18-bse-92/isb,Semester 2
ciit/fa18-bse-923/isb,Semester 8
ciit/fa18-bse-963/isb,Semester 8
ciit/fa18-bse-967/isb,Semester 8
ciit/fa18-bse-970/isb,Semester 8
ciit/fa18-bse-984/isb,Semester 8
ciit/fa18-bse-995/isb,Semester 8
ciit/fa19-bcs-1047/isb,Semester 6
ciit/fa19-bcs-1131/isb,Semester 6
ciit/fa19-bcs-1144/isb,Semester 6
ciit/fa19-bcs-12/isb,Semester 6
ciit/fa19-bcs-1315/isb,Semester 1
ciit/fa19-bcs-132/isb,Semester 6
ciit/fa19-bcs-135/isb,Semester 6
ciit/fa19-bcs-1390/isb,Semester 6
ciit/fa19-bcs-1475/isb,Semester 6
ciit/fa19-bcs-1485/isb,Semester 6
ciit/fa19-bcs-1487/isb,Semester 6
ciit/fa19-bcs-15/isb,Semester 3
ciit/fa19-bcs-1644/isb,Semester 2
ciit/fa19-bcs-1714/isb,Semester 6
ciit/fa19-bcs-1807/isb,Semester 6
ciit/fa19-bcs-1827/isb,Semester 6
ciit/fa19-bcs-1846/isb,Semester 6
ciit/fa19-bcs-1869/isb,Semester 1
ciit/fa19-bcs-1896/isb,Semester 6
ciit/fa19-bcs-1933/isb,Semester 6
ciit/fa19-bcs-1942/isb,Semester 6
ciit/fa19-bcs-1954/isb,Semester 6
ciit/fa19-bcs-1985/isb,Semester 6
ciit/fa19-bcs-2000/isb,Semester 6
ciit/fa19-bcs-2013/isb,Semester 6
ciit/fa19-bcs-2015/isb,Semester 6
ciit/fa19-bcs-2037/isb,Semester 6
ciit/fa19-bcs-2095/isb,Semester 6
ciit/fa19-bcs-2140/isb,Semester 6
ciit/fa19-bcs-220/isb,Semester 6
ciit/fa19-bcs-221/isb,Semester 6
ciit/fa19-bcs-2249/isb,Semester 1
ciit/fa19-bcs-227/isb,Semester 6
ciit/fa19-bcs-228/isb,Semester 2
ciit/fa19-bcs-2284/isb,Semester 6
ciit/fa19-bcs-2404/isb,Semester 6
ciit/fa19-bcs-2406/isb,Semester 6
ciit/fa19-bcs-251/isb,Semester 6
ciit/fa19-bcs-2526/isb,Semester 5
ciit/fa19-bcs-2530/isb,Semester 6
ciit/fa19-bcs-2594/isb,Semester 3
ciit/fa19-bcs-2646/isb,Semester 6
ciit/fa19-bcs-2666/isb,Semester 6
ciit/fa19-bcs-2683/isb,Semester 1
ciit/fa19-bcs-2692/isb,Semester 6
ciit/fa19-bcs-2723/isb,Semester 6
ciit/fa19-bcs-2731/isb,Semester 6
ciit/fa19-bcs-2737/isb,Semester 6
ciit/fa19-bcs-277/isb,Semester 1
ciit/fa19-bcs-2784/isb,Semester 5
ciit/fa19-bcs-2885/isb,Semester 6
ciit/fa19-bcs-2946/isb,Semester 6
ciit/fa19-bcs-2991/isb,Semester 6
ciit/fa19-bcs-303/isb,Semester 6
ciit/fa19-bcs-3041/isb,Semester 6
ciit/fa19-bcs-3079/isb,Semester 1
ciit/fa19-bcs-3196/isb,Semester 6
ciit/fa19-bcs-3200/isb,Semester 6
ciit/fa19-bcs-3274/isb,Semester 6
ciit/fa19-bcs-3279/isb,Semester 6
ciit/fa19-bcs-3290/isb,Semester 1
ciit/fa19-bcs-3294/isb,Semester 1
ciit/fa19-bcs-330/isb,Semester 6
ciit/fa19-bcs-332/isb,Semester 6
ciit/fa19-bcs-3326/isb,Semester 6
ciit/fa19-bcs-3358/isb,Semester 6
ciit/fa19-bcs-3398/isb,Semester 6
ciit/fa19-bcs-3406/isb,Semester 6
ciit/fa19-bcs-3412/isb,Semester 6
ciit/fa19-bcs-3434/isb,Semester 6
ciit/fa19-bcs-3436/isb,Semester 6
ciit/fa19-bcs-345/isb,Semester 6
ciit/fa19-bcs-3498/isb,Semester 6
ciit/fa19-bcs-3532/isb,Semester 6
ciit/fa19-bcs-3690/isb,Semester 6
ciit/fa19-bcs-3715/isb,Semester 6
ciit/fa19-bcs-3726/isb,Semester 6
ciit/fa19-bcs-374/isb,Semester 6
ciit/fa19-bcs-387/isb,Semester 4
ciit/fa19-bcs-398/isb,Semester 6
ciit/fa19-bcs-433/isb,Semester 6
ciit/fa19-bcs-464/isb,Semester 6
ciit/fa19-bcs-480/isb,Semester 6
ciit/fa19-bcs-492/isb,Semester 6
ciit/fa19-bcs-550/isb,Semester 6
ciit/fa19-bcs-629/isb,Semester 2
ciit/fa19-bcs-693/isb,Semester 6
ciit/fa19-bcs-70/isb,Semester 6
ciit/fa19-bcs-861/isb,Semester 6
ciit/fa19-bcs-874/isb,Semester 6
ciit/fa19-bcs-894/isb,Semester 6
ciit/fa19-bcs-900/isb,Semester 6
ciit/fa19-bcs-918/isb,Semester 6
ciit/fa19-bcs-968/isb,Semester 6
ciit/fa19-bse-1029/isb,Semester 6
ciit/fa19-bse-1042/isb,Semester 6
ciit/fa19-bse-1048/isb,Semester 6
ciit/fa19-bse-1071/isb,Semester 3
ciit/fa19-bse-1076/isb,Semester 6
ciit/fa19-bse-1129/isb,Semester 6
ciit/fa19-bse-1145/isb,Semester 6
ciit/fa19-bse-1254/isb,Semester 6
ciit/fa19-bse-1310/isb,Semester 6
ciit/fa19-bse-1331/isb,Semester 1
ciit/fa19-bse-1340/isb,Semester 6
ciit/fa19-bse-1365/isb,Semester 6
ciit/fa19-bse-1372/isb,Semester 6
ciit/fa19-bse-1431/isb,Semester 6
ciit/fa19-bse-1432/isb,Semester 6
ciit/fa19-bse-1458/isb,Semester 6
ciit/fa19-bse-1541/isb,Semester 6
ciit/fa19-bse-1591/isb,Semester 6
ciit/fa19-bse-1603/isb,Semester 6
ciit/fa19-bse-1623/isb,Semester 1
ciit/fa19-bse-1629/isb,Semester 6
ciit/fa19-bse-1670/isb,Semester 6
ciit/fa19-bse-1710/isb,Semester 6
ciit/fa19-bse-1716/isb,Semester 6
ciit/fa19-bse-1740/isb,Semester 6
ciit/fa19-bse-1750/isb,Semester 3
ciit/fa19-bse-1774/isb,Semester 6
ciit/fa19-bse-1801/isb,Semester 6
ciit/fa19-bse-1814/isb,Semester 6
ciit/fa19-bse-1839/isb,Semester 6
ciit/fa19-bse-1866/isb,Semester 6
ciit/fa19-bse-1876/isb,Semester 1
ciit/fa19-bse-1893/isb,Semester 1
ciit/fa19-bse-1901/isb,Semester 6
ciit/fa19-bse-1909/isb,Semester 6
ciit/fa19-bse-1931/isb,Semester 6
ciit/fa19-bse-1979/isb,Semester 6
ciit/fa19-bse-2014/isb,Semester 6
ciit/fa19-bse-2032/isb,Semester 6
ciit/fa19-bse-2048/isb,Semester 1
ciit/fa19-bse-2098/isb,Semester 3
ciit/fa19-bse-2112/isb,Semester 6
ciit/fa19-bse-2122/isb,Semester 6
ciit/fa19-bse-2155/isb,Semester 3
ciit/fa19-bse-2157/isb,Semester 6
ciit/fa19-bse-2181/isb,Semester 6
ciit/fa19-bse-2213/isb,Semester 1
ciit/fa19-bse-2230/isb,Semester 1
ciit/fa19-bse-2245/isb,Semester 6
ciit/fa19-bse-2250/isb,Semester 6
ciit/fa19-bse-2402/isb,Semester 6
ciit/fa19-bse-2465/isb,Semester 1
ciit/fa19-bse-2498/isb,Semester 6
ciit/fa19-bse-2533/isb,Semester 6
ciit/fa19-bse-2555/isb,Semester 6
ciit/fa19-bse-2568/isb,Semester 6
ciit/fa19-bse-2622/isb,Semester 1
ciit/fa19-bse-2623/isb,Semester 6
ciit/fa19-bse-2628/isb,Semester 2
ciit/fa19-bse-2693/isb,Semester 6
ciit/fa19-bse-2715/isb,Semester 3
ciit/fa19-bse-275/isb,Semester 6
ciit/fa19-bse-2801/isb,Semester 6
ciit/fa19-bse-2868/isb,Semester 1
ciit/fa19-bse-2913/isb,Semester 6
ciit/fa19-bse-3008/isb,Semester 6
ciit/fa19-bse-3050/isb,Semester 6
ciit/fa19-bse-3062/isb,Semester 1
ciit/fa19-bse-3066/isb,Semester 6
ciit/fa19-bse-3099/isb,Semester 6
ciit/fa19-bse-3110/isb,Semester 6
ciit/fa19-bse-3111/isb,Semester 6
ciit/fa19-bse-3144/isb,Semester 6
ciit/fa19-bse-3192/isb,Semester 1
ciit/fa19-bse-3209/isb,Semester 2
ciit/fa19-bse-3318/isb,Semester 6
ciit/fa19-bse-3368/isb,Semester 6
ciit/fa19-bse-3407/isb,Semester 6
ciit/fa19-bse-3476/isb,Semester 6
ciit/fa19-bse-3491/isb,Semester 5
ciit/fa19-bse-3527/isb,Semester 6
ciit/fa19-bse-3571/isb,Semester 6
ciit/fa19-bse-3660/isb,Semester 6
ciit/fa19-bse-3723/isb,Semester 6
ciit/fa19-bse-3732/isb,Semester 6
ciit/fa19-bse-3738/isb,Semester 6
ciit/fa19-bse-426/isb,Semester 6
ciit/fa19-bse-427/isb,Semester 2
ciit/fa19-bse-440/isb,Semester 6
ciit/fa19-bse-444/isb,Semester 2
ciit/fa19-bse-482/isb,Semester 6
ciit/fa19-bse-489/isb,Semester 6
ciit/fa19-bse-582/isb,Semester 6
ciit/fa19-bse-604/isb,Semester 1
ciit/fa19-bse-631/isb,Semester 6
ciit/fa19-bse-655/isb,Semester 2
ciit/fa19-bse-658/isb,Semester 6
ciit/fa19-bse-661/isb,Semester 1
ciit/fa19-bse-7/isb,Semester 6
ciit/fa19-bse-720/isb,Semester 6
ciit/fa19-bse-735/isb,Semester 6
ciit/fa19-bse-76/isb,Semester 6
ciit/fa19-bse-827/isb,Semester 6
ciit/fa19-bse-908/isb,Semester 6
ciit/fa19-bse-912/isb,Semester 1
ciit/fa20-bcs-107/isb,Semester 4
ciit/fa20-bcs-1099/isb,Semester 4
ciit/fa20-bcs-1127/isb,Semester 4
ciit/fa20-bcs-1170/isb,Semester 4
ciit/fa20-bcs-119/isb,Semester 4
ciit/fa20-bcs-1197/isb,Semester 4
ciit/fa20-bcs-1264/isb,Semester 2
ciit/fa20-bcs-1268/isb,Semester 4
ciit/fa20-bcs-1274/isb,Semester 2
ciit/fa20-bcs-1369/isb,Semester 4
ciit/fa20-bcs-1377/isb,Semester 4
ciit/fa20-bcs-1393/isb,Semester 1
ciit/fa20-bcs-1415/isb,Semester 4
ciit/fa20-bcs-143/isb,Semester 4
ciit/fa20-bcs-1433/isb,Semester 4
ciit/fa20-bcs-1438/isb,Semester 4
ciit/fa20-bcs-1446/isb,Semester 4
ciit/fa20-bcs-1469/isb,Semester 4
ciit/fa20-bcs-1515/isb,Semester 4
ciit/fa20-bcs-1519/isb,Semester 4
ciit/fa20-bcs-1589/isb,Semester 1
ciit/fa20-bcs-1756/isb,Semester 4
ciit/fa20-bcs-1771/isb,Semester 4
ciit/fa20-bcs-1798/isb,Semester 4
ciit/fa20-bcs-183/isb,Semester 1
ciit/fa20-bcs-1856/isb,Semester 4
ciit/fa20-bcs-1881/isb,Semester 1
ciit/fa20-bcs-1888/isb,Semester 4
ciit/fa20-bcs-1900/isb,Semester 3
ciit/fa20-bcs-1903/isb,Semester 4
ciit/fa20-bcs-1925/isb,Semester 4
ciit/fa20-bcs-1966/isb,Semester 4
ciit/fa20-bcs-2001/isb,Semester 4
ciit/fa20-bcs-2010/isb,Semester 4
ciit/fa20-bcs-2058/isb,Semester 3
ciit/fa20-bcs-2071/isb,Semester 4
ciit/fa20-bcs-2127/isb,Semester 4
ciit/fa20-bcs-216/isb,Semester 4
ciit/fa20-bcs-2161/isb,Semester 1
ciit/fa20-bcs-217/isb,Semester 4
ciit/fa20-bcs-2187/isb,Semester 4
ciit/fa20-bcs-2189/isb,Semester 4
ciit/fa20-bcs-2193/isb,Semester 4
ciit/fa20-bcs-2212/isb,Semester 4
ciit/fa20-bcs-222/isb,Semester 4
ciit/fa20-bcs-2223/isb,Semester 4
ciit/fa20-bcs-2224/isb,Semester 4
ciit/fa20-bcs-224/isb,Semester 4
ciit/fa20-bcs-2276/isb,Semester 4
ciit/fa20-bcs-2308/isb,Semester 4
ciit/fa20-bcs-2323/isb,Semester 4
ciit/fa20-bcs-2360/isb,Semester 4
ciit/fa20-bcs-2514/isb,Semester 1
ciit/fa20-bcs-2528/isb,Semester 4
ciit/fa20-bcs-2580/isb,Semester 1
ciit/fa20-bcs-2626/isb,Semester 4
ciit/fa20-bcs-2642/isb,Semester 4
ciit/fa20-bcs-2648/isb,Semester 4
ciit/fa20-bcs-2696/isb,Semester 1
ciit/fa20-bcs-2713/isb,Semester 1
ciit/fa20-bcs-2789/isb,Semester 4
ciit/fa20-bcs-2813/isb,Semester 4
ciit/fa20-bcs-2830/isb,Semester 4
ciit/fa20-bcs-2852/isb,Semester 4
ciit/fa20-bcs-2862/isb,Semester 4
ciit/fa20-bcs-2864/isb,Semester 1
ciit/fa20-bcs-2896/isb,Semester 4
ciit/fa20-bcs-2903/isb,Semester 4
ciit/fa20-bcs-2904/isb,Semester 3
ciit/fa20-bcs-2950/isb,Semester 4
ciit/fa20-bcs-2999/isb,Semester 1
ciit/fa20-bcs-3/isb,Semester 4
ciit/fa20-bcs-3029/isb,Semester 2
ciit/fa20-bcs-3061/isb,Semester 4
ciit/fa20-bcs-307/isb,Semester 4
ciit/fa20-bcs-3087/isb,Semester 3
ciit/fa20-bcs-311/isb,Semester 1
ciit/fa20-bcs-3153/isb,Semester 4
ciit/fa20-bcs-3277/isb,Semester 4
ciit/fa20-bcs-3302/isb,Semester 1
ciit/fa20-bcs-3334/isb,Semester 4
ciit/fa20-bcs-3417/isb,Semester 4
ciit/fa20-bcs-3481/isb,Semester 4
ciit/fa20-bcs-3505/isb,Semester 4
ciit/fa20-bcs-3588/isb,Semester 1
ciit/fa20-bcs-359/isb,Semester 4
ciit/fa20-bcs-3609/isb,Semester 2
ciit/fa20-bcs-3649/isb,Semester 4
ciit/fa20-bcs-402/isb,Semester 4
ciit/fa20-bcs-46/isb,Semester 4
ciit/fa20-bcs-471/isb,Semester 4
ciit/fa20-bcs-546/isb,Semester 4
ciit/fa20-bcs-578/isb,Semester 4
ciit/fa20-bcs-586/isb,Semester 4
ciit/fa20-bcs-61/isb,Semester 4
ciit/fa20-bcs-634/isb,Semester 4
ciit/fa20-bcs-635/isb,Semester 1
ciit/fa20-bcs-698/isb,Semester 4
ciit/fa20-bcs-736/isb,Semester 4
ciit/fa20-bcs-759/isb,Semester 4
ciit/fa20-bcs-849/isb,Semester 4
ciit/fa20-bcs-883/isb,Semester 4
ciit/fa20-bcs-957/isb,Semester 4
ciit/fa20-bcs-975/isb,Semester 4
ciit/fa20-bcs-986/isb,Semester 1
ciit/fa20-bse-1003/isb,Semester 1
ciit/fa20-bse-1005/isb,Semester 4
ciit/fa20-bse-1041/isb,Semester 4
ciit/fa20-bse-1128/isb,Semester 4
ciit/fa20-bse-118/isb,Semester 3
ciit/fa20-bse-1192/isb,Semester 4
ciit/fa20-bse-1213/isb,Semester 4
ciit/fa20-bse-125/isb,Semester 4
ciit/fa20-bse-1296/isb,Semester 4
ciit/fa20-bse-1326/isb,Semester 1
ciit/fa20-bse-1404/isb,Semester 4
ciit/fa20-bse-1421/isb,Semester 4
ciit/fa20-bse-145/isb,Semester 4
ciit/fa20-bse-1466/isb,Semester 4
ciit/fa20-bse-1531/isb,Semester 1
ciit/fa20-bse-1536/isb,Semester 4
ciit/fa20-bse-1548/isb,Semester 4
ciit/fa20-bse-156/isb,Semester 4
ciit/fa20-bse-1565/isb,Semester 4
ciit/fa20-bse-1582/isb,Semester 4
ciit/fa20-bse-1619/isb,Semester 4
ciit/fa20-bse-1643/isb,Semester 4
ciit/fa20-bse-1654/isb,Semester 4
ciit/fa20-bse-1695/isb,Semester 4
ciit/fa20-bse-1737/isb,Semester 1
ciit/fa20-bse-1748/isb,Semester 4
ciit/fa20-bse-1760/isb,Semester 4
ciit/fa20-bse-1764/isb,Semester 4
ciit/fa20-bse-1766/isb,Semester 4
ciit/fa20-bse-1803/isb,Semester 4
ciit/fa20-bse-1819/isb,Semester 4
ciit/fa20-bse-1861/isb,Semester 4
ciit/fa20-bse-1897/isb,Semester 1
ciit/fa20-bse-1907/isb,Semester 4
ciit/fa20-bse-1972/isb,Semester 4
ciit/fa20-bse-1981/isb,Semester 4
ciit/fa20-bse-1991/isb,Semester 1
ciit/fa20-bse-2067/isb,Semester 4
ciit/fa20-bse-2126/isb,Semester 4
ciit/fa20-bse-2128/isb,Semester 4
ciit/fa20-bse-2151/isb,Semester 4
ciit/fa20-bse-2171/isb,Semester 4
ciit/fa20-bse-2173/isb,Semester 4
ciit/fa20-bse-2265/isb,Semester 4
ciit/fa20-bse-2280/isb,Semester 4
ciit/fa20-bse-2290/isb,Semester 1
ciit/fa20-bse-2309/isb,Semester 4
ciit/fa20-bse-2326/isb,Semester 4
ciit/fa20-bse-2429/isb,Semester 4
ciit/fa20-bse-2560/isb,Semester 4
ciit/fa20-bse-2598/isb,Semester 4
ciit/fa20-bse-2782/isb,Semester 4
ciit/fa20-bse-2807/isb,Semester 4
ciit/fa20-bse-2888/isb,Semester 4
ciit/fa20-bse-2932/isb,Semester 1
ciit/fa20-bse-2979/isb,Semester 4
ciit/fa20-bse-2986/isb,Semester 4
ciit/fa20-bse-3065/isb,Semester 4
ciit/fa20-bse-3088/isb,Semester 4
ciit/fa20-bse-3160/isb,Semester 4
ciit/fa20-bse-3165/isb,Semester 4
ciit/fa20-bse-3186/isb,Semester 4
ciit/fa20-bse-3228/isb,Semester 4
ciit/fa20-bse-3229/isb,Semester 1
ciit/fa20-bse-3359/isb,Semester 4
ciit/fa20-bse-3370/isb,Semester 4
ciit/fa20-bse-3403/isb,Semester 1
ciit/fa20-bse-3422/isb,Semester 1
ciit/fa20-bse-3438/isb,Semester 4
ciit/fa20-bse-3469/isb,Semester 4
ciit/fa20-bse-3507/isb,Semester 4
ciit/fa20-bse-3594/isb,Semester 1
ciit/fa20-bse-3596/isb,Semester 1
ciit/fa20-bse-3614/isb,Semester 4
ciit/fa20-bse-3638/isb,Semester 4
ciit/fa20-bse-364/isb,Semester 4
ciit/fa20-bse-3648/isb,Semester 4
ciit/fa20-bse-3665/isb,Semester 4
ciit/fa20-bse-3692/isb,Semester 4
ciit/fa20-bse-3714/isb,Semester 4
ciit/fa20-bse-3728/isb,Semester 4
ciit/fa20-bse-3729/isb,Semester 4
ciit/fa20-bse-373/isb,Semester 1
ciit/fa20-bse-393/isb,Semester 1
ciit/fa20-bse-450/isb,Semester 1
ciit/fa20-bse-483/isb,Semester 4
ciit/fa20-bse-496/isb,Semester 4
ciit/fa20-bse-53/isb,Semester 4
ciit/fa20-bse-559/isb,Semester 2
ciit/fa20-bse-577/isb,Semester 4
ciit/fa20-bse-646/isb,Semester 4
ciit/fa20-bse-684/isb,Semester 1
ciit/fa20-bse-685/isb,Semester 4
ciit/fa20-bse-713/isb,Semester 4
ciit/fa20-bse-718/isb,Semester 4
ciit/fa20-bse-74/isb,Semester 4
ciit/fa20-bse-756/isb,Semester 4
ciit/fa20-bse-810/isb,Semester 1
ciit/fa20-bse-811/isb,Semester 1
ciit/fa20-bse-812/isb,Semester 4
ciit/fa20-bse-930/isb,Semester 4
ciit/fa20-bse-94/isb,Semester 1
ciit/fa20-bse-960/isb,Semester 4
ciit/fa20-bse-961/isb,Semester 4
ciit/fa21-bcs-1097/isb,Semester 1
ciit/fa21-bcs-1112/isb,Semester 1
ciit/fa21-bcs-1122/isb,Semester 2
ciit/fa21-bcs-1196/isb,Semester 2
ciit/fa21-bcs-1220/isb,Semester 2
ciit/fa21-bcs-1273/isb,Semester 2
ciit/fa21-bcs-1275/isb,Semester 2
ciit/fa21-bcs-1277/isb,Semester 1
ciit/fa21-bcs-1299/isb,Semester 2
ciit/fa21-bcs-1406/isb,Semester 2
ciit/fa21-bcs-1428/isb,Semester 2
ciit/fa21-bcs-1470/isb,Semester 2
ciit/fa21-bcs-1490/isb,Semester 1
ciit/fa21-bcs-1493/isb,Semester 2
ciit/fa21-bcs-1532/isb,Semester 2
ciit/fa21-bcs-1546/isb,Semester 2
ciit/fa21-bcs-1616/isb,Semester 2
ciit/fa21-bcs-1699/isb,Semester 1
ciit/fa21-bcs-1736/isb,Semester 1
ciit/fa21-bcs-1773/isb,Semester 2
ciit/fa21-bcs-180/isb,Semester 2
ciit/fa21-bcs-1817/isb,Semester 2
ciit/fa21-bcs-1859/isb,Semester 2
ciit/fa21-bcs-189/isb,Semester 1
ciit/fa21-bcs-191/isb,Semester 2
ciit/fa21-bcs-1947/isb,Semester 2
ciit/fa21-bcs-198/isb,Semester 2
ciit/fa21-bcs-20/isb,Semester 2
ciit/fa21-bcs-2055/isb,Semester 2
ciit/fa21-bcs-2150/isb,Semester 1
ciit/fa21-bcs-2198/isb,Semester 2
ciit/fa21-bcs-2229/isb,Semester 2
ciit/fa21-bcs-2281/isb,Semester 2
ciit/fa21-bcs-2321/isb,Semester 2
ciit/fa21-bcs-2324/isb,Semester 2
ciit/fa21-bcs-242/isb,Semester 2
ciit/fa21-bcs-2443/isb,Semester 2
ciit/fa21-bcs-2445/isb,Semester 2
ciit/fa21-bcs-2484/isb,Semester 2
ciit/fa21-bcs-2500/isb,Semester 2
ciit/fa21-bcs-252/isb,Semester 2
ciit/fa21-bcs-2521/isb,Semester 1
ciit/fa21-bcs-2627/isb,Semester 2
ciit/fa21-bcs-2667/isb,Semester 2
ciit/fa21-bcs-2674/isb,Semester 2
ciit/fa21-bcs-2685/isb,Semester 2
ciit/fa21-bcs-2697/isb,Semester 2
ciit/fa21-bcs-2724/isb,Semester 2
ciit/fa21-bcs-2804/isb,Semester 2
ciit/fa21-bcs-2810/isb,Semester 2
ciit/fa21-bcs-2861/isb,Semester 2
ciit/fa21-bcs-2869/isb,Semester 1
ciit/fa21-bcs-2923/isb,Semester 1
ciit/fa21-bcs-3046/isb,Semester 1
ciit/fa21-bcs-3048/isb,Semester 2
ciit/fa21-bcs-3105/isb,Semester 2
ciit/fa21-bcs-3127/isb,Semester 1
ciit/fa21-bcs-3162/isb,Semester 2
ciit/fa21-bcs-3243/isb,Semester 2
ciit/fa21-bcs-3251/isb,Semester 2
ciit/fa21-bcs-3255/isb,Semester 2
ciit/fa21-bcs-326/isb,Semester 2
ciit/fa21-bcs-3284/isb,Semester 2
ciit/fa21-bcs-3287/isb,Semester 2
ciit/fa21-bcs-3316/isb,Semester 1
ciit/fa21-bcs-3325/isb,Semester 2
ciit/fa21-bcs-3328/isb,Semester 2
ciit/fa21-bcs-3497/isb,Semester 2
ciit/fa21-bcs-350/isb,Semester 2
ciit/fa21-bcs-3542/isb,Semester 2
ciit/fa21-bcs-3557/isb,Semester 2
ciit/fa21-bcs-3562/isb,Semester 2
ciit/fa21-bcs-3580/isb,Semester 2
ciit/fa21-bcs-3582/isb,Semester 2
ciit/fa21-bcs-3624/isb,Semester 2
ciit/fa21-bcs-3632/isb,Semester 2
ciit/fa21-bcs-370/isb,Semester 1
ciit/fa21-bcs-399/isb,Semester 1
ciit/fa21-bcs-411/isb,Semester 2
ciit/fa21-bcs-442/isb,Semester 2
ciit/fa21-bcs-465/isb,Semester 2
ciit/fa21-bcs-514/isb,Semester 2
ciit/fa21-bcs-567/isb,Semester 1
ciit/fa21-bcs-569/isb,Semester 1
ciit/fa21-bcs-600/isb,Semester 2
ciit/fa21-bcs-606/isb,Semester 2
ciit/fa21-bcs-683/isb,Semester 2
ciit/fa21-bcs-730/isb,Semester 2
ciit/fa21-bcs-742/isb,Semester 2
ciit/fa21-bcs-746/isb,Semester 2
ciit/fa21-bcs-796/isb,Semester 1
ciit/fa21-bcs-815/isb,Semester 2
ciit/fa21-bcs-87/isb,Semester 2
ciit/fa21-bcs-88/isb,Semester 1
ciit/fa21-bcs-881/isb,Semester 2
ciit/fa21-bcs-9/isb,Semester 1
ciit/fa21-bcs-90/isb,Semester 1
ciit/fa21-bcs-965/isb,Semester 1
ciit/fa21-bse-1011/isb,Semester 1
ciit/fa21-bse-1152/isb,Semester 1
ciit/fa21-bse-1155/isb,Semester 1
ciit/fa21-bse-1156/isb,Semester 2
ciit/fa21-bse-1247/isb,Semester 2
ciit/fa21-bse-1262/isb,Semester 2
ciit/fa21-bse-1339/isb,Semester 2
ciit/fa21-bse-1349/isb,Semester 2
ciit/fa21-bse-1463/isb,Semester 2
ciit/fa21-bse-1471/isb,Semester 2
ciit/fa21-bse-1473/isb,Semester 2
ciit/fa21-bse-1479/isb,Semester 2
ciit/fa21-bse-1480/isb,Semester 2
ciit/fa21-bse-1498/isb,Semester 2
ciit/fa21-bse-1547/isb,Semester 1
ciit/fa21-bse-1554/isb,Semester 1
ciit/fa21-bse-1599/isb,Semester 2
ciit/fa21-bse-1604/isb,Semester 2
ciit/fa21-bse-1620/isb,Semester 1
ciit/fa21-bse-1628/isb,Semester 2
ciit/fa21-bse-1649/isb,Semester 2
ciit/fa21-bse-1681/isb,Semester 2
ciit/fa21-bse-1693/isb,Semester 2
ciit/fa21-bse-1746/isb,Semester 2
ciit/fa21-bse-1788/isb,Semester 2
ciit/fa21-bse-1848/isb,Semester 2
ciit/fa21-bse-1879/isb,Semester 2
ciit/fa21-bse-1884/isb,Semester 2
ciit/fa21-bse-2026/isb,Semester 2
ciit/fa21-bse-2028/isb,Semester 2
ciit/fa21-bse-204/isb,Semester 1
ciit/fa21-bse-208/isb,Semester 2
ciit/fa21-bse-2106/isb,Semester 2
ciit/fa21-bse-2147/isb,Semester 2
ciit/fa21-bse-2207/isb,Semester 2
ciit/fa21-bse-2218/isb,Semester 2
ciit/fa21-bse-2240/isb,Semester 2
ciit/fa21-bse-2246/isb,Semester 1
ciit/fa21-bse-2349/isb,Semester 2
ciit/fa21-bse-2368/isb,Semester 2
ciit/fa21-bse-2391/isb,Semester 1
ciit/fa21-bse-2397/isb,Semester 2
ciit/fa21-bse-2523/isb,Semester 2
ciit/fa21-bse-2525/isb,Semester 2
ciit/fa21-bse-2545/isb,Semester 1
ciit/fa21-bse-2561/isb,Semester 1
ciit/fa21-bse-2606/isb,Semester 2
ciit/fa21-bse-2657/isb,Semester 2
ciit/fa21-bse-2707/isb,Semester 2
ciit/fa21-bse-2757/isb,Semester 2
ciit/fa21-bse-2768/isb,Semester 2
ciit/fa21-bse-2772/isb,Semester 2
ciit/fa21-bse-2775/isb,Semester 2
ciit/fa21-bse-2790/isb,Semester 2
ciit/fa21-bse-2794/isb,Semester 2
ciit/fa21-bse-2836/isb,Semester 2
ciit/fa21-bse-2840/isb,Semester 2
ciit/fa21-bse-2844/isb,Semester 2
ciit/fa21-bse-2858/isb,Semester 2
ciit/fa21-bse-2929/isb,Semester 2
ciit/fa21-bse-2942/isb,Semester 2
ciit/fa21-bse-295/isb,Semester 2
ciit/fa21-bse-2956/isb,Semester 2
ciit/fa21-bse-2962/isb,Semester 2
ciit/fa21-bse-2985/isb,Semester 2
ciit/fa21-bse-3010/isb,Semester 2
ciit/fa21-bse-3143/isb,Semester 2
ciit/fa21-bse-3245/isb,Semester 2
ciit/fa21-bse-3262/isb,Semester 2
ciit/fa21-bse-3272/isb,Semester 1
ciit/fa21-bse-3298/isb,Semester 2
ciit/fa21-bse-3386/isb,Semester 2
